,input,output,label
31,translate English to English: how did the mighty City fall State Bell along whose walls were strong enough to resist any army,"How did the mighty city fall a state bell along, whose walls were strong enough","But how did the ""mighty city"" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?"
32,translate English to English: these two small cartons have been moved from a stack about 3 miles away,These two small cartons have been moved from a stack about 3 miles away.,These two small cartons had been moved from a stack about three aisles away.
33,translate English to English: to them entered the chaplain or ordinary of Newgate in full canonical,to them entered the chaplain or ordinary of Newgate in full canonical.,"To them entered the chaplain or ordinary of Newgate in full canonicals,"
34,translate English to English: because it convinced him that the average Dallas Resident was like other American citizens and respecting and admiring the president,"because it convinced him that the average Dallas resident was like other American citizens, and respecting and",because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the President.
35,translate English to English: she had not been treated like a Christian but like a wild beast of the forest she declare that the money found in her possession had been sent her from abroad,"She had not been treated like a Christian, but like a wild beast of the forest","She had not been treated like a Christian, but like a wild beast of the forest. She declared that the money found in her possession had been sent her from abroad;"
36,translate English to English: threatens to use it on mrs.,threatens to use it on Mrs.,and threatened to use it on Mrs. Pic.
37,translate English to English: is found the same part variously modified for many purposes,"is found the same, and variously modified for many purposes.","is found the same part, variously modified for many purposes."
38,translate English to English: if her estimate of time is correct she reached the bottom of the stairs before truly and Baker started up,"If her estimate of time is correct, she reached the bottom of the stairs before Truly and","If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,"
39,translate English to English: the commission believes that the liaison between all federal agencies responsible for presidential protection should be improved,The Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved,the Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved.
40,translate English to English: at most of the club's the servants had been melted to make good lost plate which had no doubt been stolen by The Prisoner,At most of the club's the servants had been melted to make good a,"At most of the clubs the servants had been mulcted to make good lost plate, which had no doubt been stolen by the prisoner."
41,translate English to English: even after his wife told him to destroy the notebook,"Even after his wife told him to destroy the notebook,",Even after his wife told him to destroy the notebook
42,translate English to English: is a tremendous game for the principles of democracy,is a tremendous game for the principles of democracy.,That is a tremendous gain for the principles of democracy.
43,translate English to English: day on the other hand believed that sufficient traces of the print have been left on the rifle barrel,"Day, on the other hand, believed that sufficient traces of the print had been left on","Day, on the other hand, believed that sufficient traces of the print had been left on the rifle barrel,"
44,translate English to English: into holes marked with numbers,into holes marked with numbers.,into holes marked with numbers.
45,translate English to English: his captors having Gus succeeded in their designs left him no doubt to realize the money,"His captors, having gus succeeded in their designs, left him no doubt to realize","His captors having thus succeeded in their designs, left him, no doubt to realize the money."
46,translate English to English: get the forms of printed letters should follow more or less closely those of the written character and they followed them very closely,"that the forms of printed letters should follow more or less closely those of the written character, and","that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely."
47,translate English to English: and Robson on arrival did the owners of his house for lunch to gain time,and Robson on arrival did the owners of his house for lunch to gain time.,"They drove there, and Robson on arrival did the honors of his house, rang for lunch to gain time,"
48,translate English to English: made a voluntary confession to Sir Herbert Taylor one morning Cesar after which closely watched,"made a voluntary confession to Sir Herbert Taylor one morning, Cesar, after which closely watched","made a voluntary confession to Sir Herbert Taylor one morning at Windsor; after which Thistlewood and his accomplices were closely watched,"
49,translate English to English: when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,When the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a,"when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,"
50,translate English to English: the medical evidence was clear that the decapitation had been affected during life and the jewelry after a short deliberation,"The medical evidence was clear that the decapitation had been effected during life,","But the medical evidence was clear that the decapitation had been effected during life, and the jury, after a short deliberation,"
51,translate English to English: the man continued along 10th Street misses Markham saw a police car slowly approached the man from the rear and stopped alongside of him,The man continued along 10th Street. Miss Markham saw a police car slowly approached the,The man continued along 10th Street. Mrs. Markham saw a police car slowly approach the man from the rear and stop alongside of him.
52,translate English to English: perhaps Herodotus had never been in Babylon,Perhaps Herodotus had never been in Babylon.,Perhaps Herodotus had never been in Babylon;
53,translate English to English: when vanity is strongly developed there is the Keene anxiety to hear what is being said about them outside,When vanity is strongly developed there is the keene anxiety to hear what is being said,When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside.
54,translate English to English: it was particularly recommended by the committee on jails in 1814,It was particularly recommended by the Committee on Jails in 1814.,It was particularly recommended by the Committee on Jails in 1814
55,translate English to English: assistant to the director of the FBI testified that,Assistant to the Director of the FBI testified that,The assistant to the Director of the FBI testified that
56,translate English to English: he thought it contained tent poles or possibly other camping equipment such as a folding shovel,He thought it contained tent poles or possibly other camping equipment such as a folding shovel,"He thought it contained tent poles, or possibly other camping equipment such as a folding shovel."
57,translate English to English: in one prison the bedsteads have been removed less the prisoners should break them up and convert them into weapons of offense,In one prison the bedsteads had been removed less. The prisoners should break them up and,In one prison the bedsteads had been removed lest the prisoners should break them up and convert them into weapons of offense.
58,translate English to English: Vice President Johnson during the 1960 campaign,Vice President Johnson during the 1960 campaign.,by Vice President Johnson during the 1960 campaign.
59,translate English to English: Liberty to hire suitable accommodation from any neighbors who might have it to spare the only provider,liberty to hire suitable accommodation from any neighbors who might have it to spare the only provider.,"they were at liberty to hire suitable cell accommodation from any neighbors who might have it to spare; the only proviso,"
60,translate English to English: the ordinary observes him looks to the Sheriff's and says allowed the service for the Dead,"The ordinary observes him, looks to the shers, and says, allowed the","The ordinary observes him, looks to the sheriffs, and says aloud, 'The service for the dead!'"
61,translate English to English: are better than mere personal strengths in the accomplishments of such tasks as full to women to perform,are better than mere personal strengths in the accomplishments of such tasks as full to women to perform,are better than mere personal strength in the accomplishment of such tasks as fall to women to perform.
62,translate English to English: Giovanni Lundy the Italian boy who murdered a frenchwoman in the Haymarket,"Giovanni Lundy, the Italian boy who murdered a frenchwoman in the Haymarket,","Giovanni Lanni, the Italian boy who murdered a Frenchwoman in the Haymarket,"
63,translate English to English: April 6th 224 1963 Oswald's first public identification would that cause was in New Orleans,"On April 6, 1963, Oswald's first public identification would that cause belonged to","April 6 to 24, 1963 Oswald's first public identification with that cause was in New Orleans."
64,translate English to English: contracted with sheriffs and conveners to work by the job,contracted with sheriffs and conveners to work by the job.,contracted with sheriffs and conveners to work by the job.
65,translate English to English: in light of these findings the commission evaluated the additional testimony of Stambaugh,In light of these findings the Commission evaluated the additional testimony of Stombaugh,In light of these findings the Commission evaluated the additional testimony of Stombaugh
66,translate English to English: should be indications of a delicacy of material and manufacturer which would of necessity increase its cost,should be indications of a delicacy of material and manufacture which would of necessity increase,which should be indications of a delicacy of material and manufacture which would of necessity increase its cost.
67,translate English to English: the passport office of the Department of State in Washington had no listing for Oswald requiring special treatment,The passport office of the Department of State in Washington had no listing for Oswald requiring,"The Passport Office of the Department of State in Washington had no listing for Oswald requiring special treatment,"
68,translate English to English: a more alert and carefully considered treatment of the Oswald Case by The Bureau might have brought about such a referral,A more alert and carefully considered treatment of the Oswald case by the Bureau might have brought,a more alert and carefully considered treatment of the Oswald case by the Bureau might have brought about such a referral.
69,translate English to English: these considerations have induced the commission to believe,These considerations have induced the Commission to believe,These considerations have induced the Commission to believe
70,translate English to English: to the west of Babylon has a greater distance from the outer wall I constructed and enclosing wall 4000 cubits in length about the city,To the west of Babylon has a greater distance from the outer wall I constructed and en,"To the west of Babylon, at a greater distance from the outer wall, I constructed an enclosing wall four thousand cubits in length about the city."
71,translate English to English: will take approximately 20 months to implement and require expenditures of approximately 3 million dollars during that.,"will take approximately 20 months to implement, and require expenditures of approximately 3 million dollars during that","would take approximately 20 months to implement and require expenditures of approximately $3,000,000 during that period."
72,translate English to English: he finished reading a morning newspaper quote and put on good suit I saw that he took a pistol,"He finished reading a morning newspaper, quote, and put on good suit. I saw that","he finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol."
73,translate English to English: this will make certain that the largest possible portion of the funds allotted,This will make certain that the largest possible portion of the funds allotted,This will make certain that the largest possible portion of the funds allotted
74,translate English to English: shows three employees looking out of the 5th floor window directly below the window from which the shots were fired,shows three employees looking out of the fifth floor window directly below the window from which the shots were,shows three employees looking out of the fifth-floor window directly below the window from which the shots were fired.
75,translate English to English: but no steps have been taken in Parliament to enforce a better system of discipline,but no steps have been taken in Parliament to enforce a better system of discipline.,"but no steps had been taken in Parliament to enforce a better system of discipline,"
76,translate English to English: follow the heat in the center and pouring the milk working down the flower into the liquid with a spoon or your hands until it is Thoroughly melted,"Follow the heat in the center, and pouring the milk, working down the flower into the","hollow the heap in the center and pour in the milk, working down the flour into the liquid with a spoon or your hands until it is thoroughly melted."
77,translate English to English: trip to Texas began with the departure of President and mrs. Kennedy from the White House,The trip to Texas began with the departure of President and Mrs. Kennedy from the White House.,The trip to Texas began with the departure of President and Mrs. Kennedy from the White House
78,translate English to English: wild beasts of the desert shall I there,The wild beasts of the desert shall I there?,Wild beasts of the desert shall lie there;
79,translate English to English: is that the semifluid contents which we now turn protoplasm of the cells of certain plants,is that the semi-fluid contents which we now turn protoplasm of the cells of,"That the semi-fluid contents (which we now term protoplasm) of the cells of certain plants,"
80,translate English to English: nor will the walls about the palace a great mass of Del brick Masonry,Nor will the walls about the palace be a great mass of Del Brick Masonry.,Nor were the walls about the palace a great mass of dull brick masonry.
81,translate English to English: some condemned convict Converse but little with the waters who have them unceasingly in charge,"Some condemned convicts, Converse, but little with the waters, who have them un",Some condemned convicts converse but little with the warders who have them unceasingly in charge.
82,translate English to English: once ordered to the cells friends of all classes suddenly rise up his fellow Prisoners the turnkeys the chaplain,"Once ordered to the cells friends of all classes suddenly rise up his fellow-prisoners,","Once ordered to the cells, friends of all classes suddenly rise up; his fellow-prisoners, the turnkeys, the chaplain,"
83,translate English to English: and three other justices agreed with him,and three other justices agreed with him.,And three other justices agreed with him.
84,translate English to English: Elm Street parallel to Main Street in one block north,"Elm Street, parallel to Main Street, in one block north.","Elm Street, parallel to Main Street and one block north,"
85,translate English to English: he tramped across London Bridge to Wandsworth where he refreshed himself with a pint of strong ale the first sustenance he had taken since his Escape,He tramped across London Bridge to Wandsworth where he refreshed himself with a pin,"he tramped across London Bridge to Wandsworth, where he refreshed himself with a pint of strong ale, the first sustenance he had taken since his escape,"
86,translate English to English: Courvoisier was idle discontented ready to take offense greedy of gain,"Courvoisier was idle, discontented, ready to take offense, greedy","that Courvoisier was idle, discontented, ready to take offense, greedy of gain;"
87,translate English to English: let me call your attention to the fact that the national industrial Recovery Act,Let me call your attention to the fact that the National Industrial Recovery Act,Let me call your attention to the fact that the national Industrial Recovery Act
88,translate English to English: Fritz replied quote well he was employed down at The Book Depository and he had not been present for a roll-call of the employees and quote,"Fritz replied, quote, Well, he was employed down at the Book Depository and ","Fritz replied, quote, Well, he was employed down at the Book Depository and he had not been present for a roll call of the employees, end quote."
89,translate English to English: all the words middle like we're more or less irresponsible,"All the words ""muttering like"" were more or less irresponsible.",All the wardsmen alike were more or less irresponsible.
90,translate English to English: Marina Oswald testified that in New Orleans in May of 1963 she observed all night,Marina Oswald testified that in New Orleans in May of 1963 she observed all night.,"Marina Oswald testified that in New Orleans in May of 1963, she observed Oswald sitting with the rifle on their screened porch at night,"
91,translate English to English: when she came out of prison she appeared languid and terrified and trembled greatly as she Advanced to the state,"When she came out of prison she appeared languid and terrified, and trem","When she came out of prison she appeared languid and terrified, and trembled greatly as she advanced to the stake,"
92,translate English to English: Preparatory to their appearance in the Old Bailey removed from the convicted until discharge,"Preparatory to their appearance in the Old Bailey, removed from the convicted until discharge.",preparatory to their appearance in the Old Bailey. Irons were seldom removed from the convicted until discharge;
93,translate English to English: were constructed on The Landings ensconced in which waters spent the night on duty and alert to watch the sleepers below,"were constructed on the landings ensconced, in which waters spent the night","were constructed on the landings, ensconced in which warders spent the night, on duty, and alert to watch the sleepers below,"
94,translate English to English: Lawson was not specifically instructed to select the parade route but he understood that this was one of his functions,"Lawson was not specifically instructed to select the parade route, but he understood that this was","Lawson was not specifically instructed to select the parade route, but he understood that this was one of his functions."
95,translate English to English: similarly Virginia Davis had not been shown pictures of anyone prior to the lineup and had not seen either television or the newspapers during the afternoon,"Similarly, Virginia Davis had not been shown pictures of anyone prior to the lineup and had not","Similarly, Virginia Davis had not been shown pictures of anyone prior to the lineup and had not seen either television or the newspapers during the afternoon."
96,translate English to English: third possibility the trademart a handsome new building with all the necessary facilities presented security problems it had numerous entrances,"Third possibility: the Trade Mart, a handsome new building with all the necessary facilities, presented","The third possibility, the Trade Mart, a handsome new building with all the necessary facilities, presented security problems. It had numerous entrances,"
97,translate English to English: the lockn fastenings of the chest we're forced by means of a jack and instrument known to house-breakers,The lockn fastenings of the chest were forced by means of a jack,"The lock and fastenings of the chest were forced by means of a ""jack,"" an instrument known to housebreakers,"
98,translate English to English: whence they let themselves down into the street by the Rope,"Whence they let themselves down into the street by the rope,",whence they let themselves down into the street by the rope.
99,translate English to English: any travel any contact with the general public involves a calculated risk on the part of the president and the men responsible for his protection,"Any travel, any contact with the general public, involves a calculated risk on the part of","Any travel, any contact with the general public, involves a calculated risk on the part of the President and the men responsible for his protection."
100,translate English to English: as some kind of Tribunal,as some kind of tribunal.,"as some kind of tribunal,"
101,translate English to English: this occurred in November 1830 for the custom-house officials were in a state of consternation,"This occurred in November 1830, for the Custom House officials were in a state of con","This occurred in November 1834. The Custom House officials were in a state of consternation,"
102,translate English to English: since cartons absorbed perspiration powder can successfully develop a print on such material only within a limited time,Since cartons absorbed perspiration powder can successfully develop a print on such material only,"Since cartons absorb perspiration, powder can successfully develop a print on such material only within a limited time."
103,translate English to English: this committee as well as the one preceding it also reported in terms of strong reprobation on the small prisons and jails,"This committee, as well as the one preceding it, also reported in terms of strong repro","This committee, as well as the one preceding it, also reported in terms of strong reprobation on the small prisons and jails"
104,translate English to English: inspectors of Prisons should be appointed who should visit all the presents from time to time and report to the Secretary of State,"Inspectors of Prisons should be appointed, who should visit all the presents from time to time","inspectors of prisons should be appointed, who should visit all the prisons from time to time and report to the Secretary of State."
105,translate English to English: or if either the first or third shots missed the Assassin fired the three shots during a minimum time span of 7.1,"or if either the first or third shots missed the assassin, fired the three","or, if either the first or third shots missed, the assassin fired the three shots during a minimum time span of 7.1"
106,translate English to English: he says animals are organisms of fixed and definite form in which the cell body is not covered with a cellulose wall,He says animals are organisms of fixed and definite form in which the cell body is not,"He says: Animals are organisms of fixed and definite form, in which the cell-body is not covered with a cellulose wall."
107,translate English to English: the prison population of Newgate was still subject to Great fluctuations but it's seldom Rose above 250 or 300,"The prison population of Newgate was still subject to great fluctuations, but it seldom rose above 250","The prison population of Newgate was still subject to great fluctuations, but it seldom rose above two hundred and fifty or three hundred"
108,translate English to English: the weekly introduction of food to which I shall presently refer formed the basis of luxurious Banquets washdown by liquor,The weekly introduction of food to which I shall presently refer formed the basis of luxurious banquet,"The weekly introduction of food, to which I shall presently refer, formed the basis of luxurious banquets, washed down by liquor"
109,translate English to English: true and assistant secretary whose duties also include the direct supervision of the Bureau of the mint,"True, an assistant secretary, whose duties also include the direct supervision of the Bureau of the",through an Assistant Secretary whose duties also include the direct supervision of the Bureau of the Mint
110,translate English to English: it is only the green parts of the plant which under the influence of sunlight have the marvelous power of decomposing carbonic acid,It is only the green parts of the plant which under the influence of sunlight have the marvelous power,"for it is only the green parts of the plant which, under the influence of sunlight, have the marvelous power of decomposing carbonic acid,"
111,translate English to English: additional evidence of ownership was provided in the form of palm print identification which indicated that Oswald had possession of the rifle he had purchased,Additional evidence of ownership was provided in the form of palmprint identification which indicated that Oswald,Additional evidence of ownership was provided in the form of palmprint identification which indicated that Oswald had possession of the rifle he had purchased.
112,translate English to English: the operating companies in the gas and electric utility field are buying large in good condition but,The operating companies in the gas and electric utility field are buying large in good condition but,"The operating companies in the gas and electric utility field are by and large in good condition, but"
113,translate English to English: early 30s Fair complexion slender but neat neat slender possible 5 ft 10,"in the early thirty's Fair complexion, slender but neat, sl","man in his early thirties, fair complexion, slender, but neat, neat slender, possible 5 foot 10"
114,translate English to English: the society did not limit its remarks to the description of what had already been done,The Society did not limit its remarks to the description of what had already been done.,The Society did not limit its remarks to the description of what had already been done
115,translate English to English: a plot was soon discovered,A plot was soon discovered.,"A plot was soon discovered,"
116,translate English to English: on that occasion cause mold again use the bolt action 22 caliber rifle according to Robert,"On that occasion caused mold again to use the bolt-action 22 caliber rifle, according to","On that occasion Oswald again used a bolt-action.22 caliber rifle; and according to Robert,"
117,translate English to English: a simultaneous attack was made upon the captain and the first mate,A simultaneous attack was made upon the captain and the firstmate.,A simultaneous attack was made upon the captain and the first mate.
118,translate English to English: and that this was the same shirt which Oswald more on the morning of the assassination,and that this was the same shirt which Oswald wore more on the morning of the,and that this was the same shirt which Oswald wore on the morning of the assassination.
119,translate English to English: The Prisoner was forthwith extradited and sent back to England which he reached with his escort on 17th September the same year,"The prisoner was forthwith extradited and sent back to England, which he reached","The prisoner was forthwith extradited and sent back to England, which he reached with his escort on the 17th September the same year."
120,translate English to English: as to whether or not the bullet recovered from Walker's house had been fired from the rifle found on the sixth floor of the Texas School Book Depository building,As to whether or not the bullet recovered from Walker's house had been fired from the rifle,as to whether or not the bullet recovered from Walker's house had been fired from the rifle found on the sixth floor of the Texas School Book Depository Building.
121,translate English to English: the fee for admission to the Stateside as fixed by the table of fees was 3 guineas but Mr Newman declared that he never took more than two,"The fee for admission to the State Side, as fixed by the table of fees, was three","The fee for admission to the state side, as fixed by the table of fees, was three guineas, but Mr. Newman declared that he never took more than two."
122,translate English to English: Oswald's diary reports that he married his wife shortly after his proposal of marriage to another girl had been rejected,Oswald's diary reports that he married his wife shortly after his proposal of marriage,Oswald's diary reports that he married his wife shortly after his proposal of marriage to another girl had been rejected.
123,translate English to English: response to Statute in 1803 the court said violated an express provision of the Constitution,"In response to Statute in 1803, the Court said, violated an express provision of","Congress passed a statute which, in 1803, the Court said violated an express provision of the Constitution."
124,translate English to English: the secret service has embarked upon a complete overhaul of its research activities the staff of the protective research section p r s,The Secret Service has embarked upon a complete overhaul of its research activities. The staff,The Secret Service has embarked upon a complete overhaul of its research activities. The staff of the Protective Research Section (PRS)
125,translate English to English: in the last three national elections,In the last three national elections,For in the last three national elections
126,translate English to English: Frazier testified further that the FBI avoids the category of probable identification,Frazier testified further that the FBI avoids the category of probable identification,"Frazier testified further that the FBI avoids the category of ""probable"" identification."
127,translate English to English: but in spite of all these obscurations corresponding parts usually maybe made out,But in spite of all these obscurations corresponding parts usually may be made out.,"but, in spite of all these obscurations, corresponding parts usually may be made out."
128,translate English to English: he was always hot-tempered and now this trait of character more and more prevented us from living together in harmony,"He was always hot-tempered, and now this trait of character more and more prevented us from","Lee was always hot-tempered, and now this trait of character more and more prevented us from living together in harmony."
129,translate English to English: if for instance any one of the six justices of the Supreme Court now over the age of 70 should retire as provided under the plan,"If, for instance, any one of the six justices of the Supreme Court now over the","If, for instance, any one of the six justices of the Supreme Court now over the age of seventy should retire as provided under the plan,"
130,translate English to English: this was at least in part because of the close physical confines in which some of the work had to be done,This was at least in part because of the close physical confines in which some of the work,This was at least in part because of the close physical confines in which some of the work had to be done.
131,translate English to English: the theft was discovered when the boxes were found not to weigh exactly what they ought but no clue was obtained to the thieves,"The theft was discovered when the boxes were found not to weigh exactly what they ought, but no","The theft was discovered at Boulogne, when the boxes were found not to weigh exactly what they ought. But no clue was obtained to the thieves,"
132,translate English to English: forced and constant intercourse with the most depraved individuals of his own class,forced and constant intercourse with the most depraved individuals of his own class.,Forced and constant intercourse with the most depraved individuals of his own class;
133,translate English to English: Lee Harvey Oswald background possible motives,"Lee Harvey Oswald's background, possible motives,","Lee Harvey Oswald: Background and Possible Motives, Part 5."
134,translate English to English: erected on the cart about 4 ft high at the head and gradually sloping towards the horse giving a full view of the body,"erected on the cart about 4 feet high at the head, and gradually slop","erected on the cart, about four feet high at the head, and gradually sloping towards the horse, giving a full view of the body,"
135,translate English to English: beating the Basher smooth as you go on until all of the liquid and flower has gone in,beating the basher smooth as you go on until all of the liquid and flower has gone in,beating the batter smooth as you go on until all of the liquid and flour has gone in.
136,translate English to English: Maynard was the only one who suffered death,Maynard was the only one who suffered death.,Maynard was the only one who suffered death.
137,translate English to English: and Offspring the history of prison discipline down to our own time,and ofspring the history of prison discipline down to our own time.,and thus bring the history of prison discipline down to our own times.
138,translate English to English: gaming of All Sorts should be peremptorily forbidden under heavy pains and penalties,The gaming of all sorts should be peremptorily forbidden under heavy pains and penalties,gaming of all sorts should be peremptorily forbidden under heavy pains and penalties.
139,translate English to English: when she started to open the blanket she saw the stock of the rifle,When she started to open the blanket she saw the stock of the rifle.,"When she started to open the blanket, she saw the stock of the rifle."
140,translate English to English: he asserted that Dallas had shed its reputation of the twenties as the quote Southwest hate capital of Dixie and quote,"He asserted that Dallas had shed its reputation of the twentyies as the, quote,","He asserted that Dallas had shed its reputation of the twenties as the, quote, Southwest hate capital of Dixie, end quote"
141,translate English to English: I've never even known a communist outside of the ones in the USSR but you can't help that and quote,I have never even known a Communist outside of the ones in the USSR but you can,"I have never even know a communist, outside of the ones in the USSR but you can't help that, end quote."
142,translate English to English: it was recognized that the Cameo was genuine and that it bore the likeness of the great king,"It was recognized that the palace was genuine, and that it bore the likeness of the great","it was recognized that the cameo was genuine, and that it bore the likeness of the great King."
143,translate English to English: but it can ascribe to him what group of motives,but it can ascribe to him what group of motives,that it can ascribe to him any one motive or group of motives.
144,translate English to English: waiting for the parade to start they talked to briefly about 1984,"Waiting for the parade to start, they talked to briefly about 1984.","While waiting for the parade to start they talked briefly about ""1984"""
145,translate English to English: enclosing and protecting the nervous centers cerebrospinal axis,enclosing and protecting the nervous centers cerebrospinal axis.,enclosing and protecting the nervous centers (cerebrospinal axis).
