,input,output,label
14,"translate English to English: which presently followed and again found himself an inmate of new gate, waking trial as a receiver and a prison breaker.","which presently followed, and again found himself an inmate of Newgate, waking trial","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,translate English to English: for this purpose he gave or there was the strongest presumption that he gave,"For this purpose he gave, or there was the strongest presumption that he","For this purpose he gave, or there was the strongest presumption that he gave,"
16,"translate English to English: this vest door is solid, except for a small glass window in the upper part of the door.","This vest door is solid, except for a small glass window in the upper part of the",This vestibule door is solid except for a small glass window in the upper part of the door.
17,"translate English to English: turning around the topics of omni and power, through which he tries to compensate for his present shortcomings and frustrations quote,",turning around the topics of omnipotence and power through which he tries to compensate,"turning around the topics of omnipotence and power, through which he tries to compensate for his present shortcomings and frustrations, end quote."
18,"translate English to English: do not get greatly excited, nor is our peace of mind disturbed? Whether we be business men or workers or farmers,","We do not get greatly excited, nor is our peace of mind disturbed, whether we be business","We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,"
19,"translate English to English: Sunday, November seventeen nineteen sixty three,","On Sunday, November 17, 1963,","On Sunday, November 17, 1963,"
20,"translate English to English: on the Mon monroe silent reading test, Lee's score indicated no re in reading speed and comprehension.","On the Monroe Silent Reading Test, Lee's score indicated no re","On the Monroe Silent Reading Test, Lee's score indicated no retardation in reading speed and comprehension;"
21,translate English to English: given thought this was about eleven fifty five Am.,given thought this was about 11:55 a.m.,Givens thought this was about 11:55 a.m.
22,translate English to English: who wrote to the times saying that he believed a site so inc awful,"who wrote to the Times, saying that he believed a site so incendi","who wrote to the 'Times,' saying that he believed ""a sight so inconceivably awful"
23,"translate English to English: he might have expected difficulty from such an approach, in fact,","that he might have expected difficulty from such an approach, in fact","While he might have expected difficulty from such an approach, in fact"
24,"translate English to English: Ru w Young blood, special agent in charge of the vice president's detail","Ruin W. Youngblood, special agent in charge of the Vice President's detail,","Rufus W. Youngblood, special agent in charge of the Vice President's detail,"
25,translate English to English: Castle one's type is clear and neat and fairly well designed.,Castle One's type is clear and neat and fairly well designed.,"Caslon's type is clear and neat, and fairly well designed;"
26,"translate English to English: there are after all, only a few types of structure among all animals and plants. Some three or four or eight or ten general modes of development,","There are, after all, only a few types of structure among all animals and plants.","there are, after all, only a few types of structure among all animals and plants, some three or four or eight or ten general modes of development,"
27,"translate English to English: the absurdity of the system, it's irregular irregularities and cruelty, we're fully touched upon by the inspectors of prisons in their first report.","The absurdity of the system, its irregularities and cruelty, were fully touched upon by the","The absurdity of the system, its irregularity and cruelty, were fully touched upon by the inspectors of prisons in their first report."
28,translate English to English: probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty.,Probably his complaint was due to the fact that his discharge was not related to anything he,Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty
29,"translate English to English: the case load of each Fbi agent averaged twenty to twenty five, and he felt that this was high.","The case load of each FBI agent averaged twenty to twenty-five, and he felt","the caseload of each FBI agent averaged 20 to 25, and he felt that this was high."
30,"translate English to English: never said anything to him again, and he never said anything to me again. And quote,","He never said anything to him again, and he never said anything to me again, end","I never said anything to him again and he never said anything to me again, end quote."
31,"translate English to English: how did the mighty city fall? How could Cyrus take Babylon, whose walls were strong enough to resist any army.","How did the mighty city fall? How could Cyrus take Babylon, whose walls were","But how did the ""mighty city"" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?"
32,translate English to English: these two small cartons had been moved from a stack about three aisle away.,These two small cartons had been moved from a stack about three aisles away.,These two small cartons had been moved from a stack about three aisles away.
33,translate English to English: to them entered the chaplain or ordinary of new gate in full canonical.,to them entered the chaplain or ordinary of Newgate in full canonical.,"To them entered the chaplain or ordinary of Newgate in full canonicals,"
34,translate English to English: because it convinced him that the average Dallas resident was like other American citizens in respecting and ad the president,because it convinced him that the average Dallas resident was like other American citizens in respecting and ,because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the President.
35,"translate English to English: she had not been treated like a Christian, but like a wild beast of the forest. She declared that the money found in her possession had been sent her from abroad","She had not been treated like a Christian, but like a wild beast of the forest","She had not been treated like a Christian, but like a wild beast of the forest. She declared that the money found in her possession had been sent her from abroad;"
36,translate English to English: threatened to use it on missus pick.,threatened to use it on Mrs. Pickle.,and threatened to use it on Mrs. Pic.
37,"translate English to English: is found the same part, various modified for many purposes.","is found the same part, various modified for many purposes.","is found the same part, variously modified for many purposes."
38,"translate English to English: her estimate of time is correct, she reached the bottom of the stairs before truly and baker started up.","Her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker","If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,"
39,translate English to English: the Commission believes that the liaison liaison between all federal agencies responsible for presidential protection should be improved,The Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved,the Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved.
40,"translate English to English: at most of the clubs, the servants had been molt to make good loss plate, which had no doubt been stolen by the prisoner.","At most of the clubs the servants had been molt to make good loss plate,","At most of the clubs the servants had been mulcted to make good lost plate, which had no doubt been stolen by the prisoner."
41,translate English to English: even after his wife told him to destroy the notebook,"Even after his wife told him to destroy the notebook,",Even after his wife told him to destroy the notebook
42,translate English to English: that is a tremendous gain for the principles of democracy.,that is a tremendous gain for the principles of democracy.,That is a tremendous gain for the principles of democracy.
43,"translate English to English: day on the other hand, believed that sufficient traces of the print had been left on the rifle barrel.","Day, on the other hand, believed that sufficient traces of the print had been left on","Day, on the other hand, believed that sufficient traces of the print had been left on the rifle barrel,"
44,translate English to English: into holes marked with numbers.,into holes marked with numbers.,into holes marked with numbers.
45,"translate English to English: his having thus succeeded in their designs, left him, no doubt to realize the money.",and his having thus succeeded in their designs left him no doubt to realize the money.,"His captors having thus succeeded in their designs, left him, no doubt to realize the money."
46,"translate English to English: the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.","The forms of printed letters should follow more or less closely those of the written character, and they","that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely."
47,"translate English to English: they drove there and Rob on arrival did the honors of his house, rang for lunch to gain time,","They drove there, and Robson on arrival did the honors of his house, rang","They drove there, and Robson on arrival did the honors of his house, rang for lunch to gain time,"
48,"translate English to English: made a voluntary confession to sir herbert Taylor one morning at Windsor. After which, this and his acc were closely watched.","He made a voluntary confession to Sir Henry Taylor one morning at Windsor, after which this and","made a voluntary confession to Sir Herbert Taylor one morning at Windsor; after which Thistlewood and his accomplices were closely watched,"
49,"translate English to English: when the farmers were demanding legislation, which would give them opportunities and incentives to organize themselves for a common advance",When the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a,"when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,"
50,"translate English to English: but, the medical evidence was clear that the d had been affected during life and the jury after a short deli deliberations","But the medical evidence was clear that the deliberation had been effected during life,","But the medical evidence was clear that the decapitation had been effected during life, and the jury, after a short deliberation,"
51,translate English to English: the man continued a long tenth street. Missus Mark saw a police car slowly approach the man from the rear and stop alongside of him.,The man continued a long 10th Street. Mrs. Markham saw a police car,The man continued along 10th Street. Mrs. Markham saw a police car slowly approach the man from the rear and stop alongside of him.
52,translate English to English: perhaps Ser had never been in Babylon.,Perhaps Sermon had never been in Babylon.,Perhaps Herodotus had never been in Babylon;
53,"translate English to English: when vanity is strongly developed, there is the keen anxiety to hear what is being said about them outside.",When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside,When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside.
54,translate English to English: it was particularly recommended by the Committee on jail in eighteen fourteen,"It was particularly recommended by the Committee on Jail in 1814,",It was particularly recommended by the Committee on Jails in 1814
55,translate English to English: assistant to the director of the Fbi testified that,Assistant to the Director of the FBI testified that,The assistant to the Director of the FBI testified that
56,translate English to English: thought it contained tent poles or possibly other camping equipment such as a folding shovel.,He thought it contained tent-polls or possibly other camping equipment such as a folding,"He thought it contained tent poles, or possibly other camping equipment such as a folding shovel."
57,"translate English to English: in one prison, the beds s had been removed lest the prisoners should break them up and convert them into weapons of offense.","In one prison the beds had been removed, lest the prisoners should break them up and convert",In one prison the bedsteads had been removed lest the prisoners should break them up and convert them into weapons of offense.
58,"translate English to English: by vice President Johnson during the nineteen sixty campaign,",by Vice President Johnson during the 1960 campaign.,by Vice President Johnson during the 1960 campaign.
59,translate English to English: they read liberty to hire suitable cell accommodation from any neighbors who might have it to spare. The only pro,They read liberty to hire suitable cell accommodation from any neighbors who might have it to spare. The,"they were at liberty to hire suitable cell accommodation from any neighbors who might have it to spare; the only proviso,"
60,"translate English to English: the ordinary observe him looks to the sheriff's since says aloud, the service for the dead","The ordinary observer looks to the sheriff's sinceres, says aloud","The ordinary observes him, looks to the sheriffs, and says aloud, 'The service for the dead!'"
61,translate English to English: are better than mere personal strength in the accomplishment of such tasks as full to women to perform.,are better than mere personal strength in the accomplishment of such tasks as full to women to perform.,are better than mere personal strength in the accomplishment of such tasks as fall to women to perform.
62,"translate English to English: Giovanni, the Italian boy who murdered a French woman in the hay market","Giovanni, the Italian boy who murdered a French woman in the hay market,","Giovanni Lanni, the Italian boy who murdered a Frenchwoman in the Haymarket,"
63,"translate English to English: April six to twenty four nineteen sixty three, Oswald first public identification with that cause was in New Orleans.","From April 6, to 24, 1963, Oswald's first public identification with that cause was","April 6 to 24, 1963 Oswald's first public identification with that cause was in New Orleans."
64,"translate English to English: contracted with sheriff and convene to work by the job,",He contracted with sheriffs and convened to work by the job.,contracted with sheriffs and conveners to work by the job.
65,"translate English to English: light of these findings, the commission evaluated the additional testimony of s",In light of these findings the Commission evaluated the additional testimony of Smethurst,In light of these findings the Commission evaluated the additional testimony of Stombaugh
66,translate English to English: should be indications of a delicacy of material and manufacture which would of necessity increase its cost.,should be indications of a delicacy of material and manufacture which would of necessity increase,which should be indications of a delicacy of material and manufacture which would of necessity increase its cost.
67,"translate English to English: the passport office of the Department of State in Washington had no listing for Oswald requiring special treatment,",The passport office of the Department of State in Washington had no listing for Oswald requiring,"The Passport Office of the Department of State in Washington had no listing for Oswald requiring special treatment,"
68,translate English to English: a more alert and carefully considered treatment of the oswald case by the bureau might have brought about such a referral.,A more alert and carefully considered treatment of the Oswald case by the Bureau might have brought,a more alert and carefully considered treatment of the Oswald case by the Bureau might have brought about such a referral.
69,translate English to English: these considerations have induced the commission to believe,These considerations have induced the Commission to believe,These considerations have induced the Commission to believe
70,"translate English to English: to the West of Babylon at a greater distance from the outer wall, I constructed an en wall four thousand cub in length about the city.","To the west of Babylon, at a greater distance from the outer wall, I constructed an","To the west of Babylon, at a greater distance from the outer wall, I constructed an enclosing wall four thousand cubits in length about the city."
71,translate English to English: take approximately twenty months to implement and require expenditures of approximately three million dollars during that period.,take approximately 20 months to implement and require expenditures of approximately $3 million during that period.,"would take approximately 20 months to implement and require expenditures of approximately $3,000,000 during that period."
72,"translate English to English: finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol","I finished reading a morning newspaper, quote, and put on a good suit. I","he finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol."
73,translate English to English: this will make certain that the largest possible portion of the funds allotted,This will make certain that the largest possible portion of the funds allotted,This will make certain that the largest possible portion of the funds allotted
74,translate English to English: shows three employees looking out of the fifth floor window directly below the window from which the shots were fired.,shows three employees looking out of the fifth-floor window directly below the window from which the shots,shows three employees looking out of the fifth-floor window directly below the window from which the shots were fired.
75,translate English to English: but no steps had been taken in parliament to enforce a better system of discipline,"But no steps had been taken in parliament to enforce a better system of discipline,","but no steps had been taken in Parliament to enforce a better system of discipline,"
76,"translate English to English: hollow the heap in the center and pour in the milk, working down the flower into the liquid with a spoon or your hands until it is thoroughly melted.","hollow the heap in the center and pour in the milk, working down the flower into the liquid","hollow the heap in the center and pour in the milk, working down the flour into the liquid with a spoon or your hands until it is thoroughly melted."
77,translate English to English: a trip to Texas began with the departure of President and Missus Kennedy from the White House,"The trip to Texas began with the departure of President and Mrs. Kennedy from the White House,",The trip to Texas began with the departure of President and Mrs. Kennedy from the White House
78,translate English to English: wild beasts of the desert shall live there.,Wild beasts of the desert shall live there.,Wild beasts of the desert shall lie there;
79,"translate English to English: that the semi fluid contents, which we now turn pro of the cells of certain plants",that the semi-fluid contents which we now turn protrusion of the cells of,"That the semi-fluid contents (which we now term protoplasm) of the cells of certain plants,"
80,"translate English to English: nor of the walls about the palace, a great mass of Dull brick Mason rich",nor of the walls about the palace a great mass of dwindling brick-m,Nor were the walls about the palace a great mass of dull brick masonry.
81,translate English to English: some condemned convict converse but little with the waters who have them un in charge.,Some condemned convicts converse but little with the waters who have them unintention,Some condemned convicts converse but little with the warders who have them unceasingly in charge.
82,"translate English to English: once ordered to the cells, friends of all classes suddenly rise up. His fellow prisoners, the turnkey keys, the chaplain,","Once ordered to the cells, friends of all classes suddenly rise up. His fellow-prison","Once ordered to the cells, friends of all classes suddenly rise up; his fellow-prisoners, the turnkeys, the chaplain,"
83,translate English to English: and three other justices agreed with him.,and three other justices agreed with him.,And three other justices agreed with him.
84,"translate English to English: Elm street, parallel to Main street and one block north","Elm Street, parallel to Main Street, and one block north,","Elm Street, parallel to Main Street and one block north,"
85,"translate English to English: He tram across London bridge to Once worth. Where he refreshed himself with a pint of strong ale. The first sustenance he had taken since his escape,","He tramped across London Bridge to Onceworth, where he refreshed himself with a pin","he tramped across London Bridge to Wandsworth, where he refreshed himself with a pint of strong ale, the first sustenance he had taken since his escape,"
86,"translate English to English: that K was idle, discontent, ready to take offense, greedy of gain,","that Ketch was idle, discontented, ready to take offense, greedy of","that Courvoisier was idle, discontented, ready to take offense, greedy of gain;"
87,translate English to English: let me call your attention to the fact that the National Industrial Recovery Act,Let me call your attention to the fact that the National Industrial Recovery Act,Let me call your attention to the fact that the national Industrial Recovery Act
88,"translate English to English: fritz replied, quote, well, he was employed down at the book depository and he had not been present for a roll call of the employees end quote.","Fritz replied, quote, Well, he was employed down at the Book Depository and ","Fritz replied, quote, Well, he was employed down at the Book Depository and he had not been present for a roll call of the employees, end quote."
89,translate English to English: all the words been like were more or less irresponsible.,All the words been like were more or less irresponsible.,All the wardsmen alike were more or less irresponsible.
90,"translate English to English: Marina Os testified that in New Orleans in May of nineteen sixty three, she observed Oswald sitting with the rifle on their screened port at night.",Marina Oswald testified that in New Orleans in May of 1963 she observed Oswald,"Marina Oswald testified that in New Orleans in May of 1963, she observed Oswald sitting with the rifle on their screened porch at night,"
91,"translate English to English: she came out of prison, she appeared lang and terrified and tremble greatly as she advanced to the stake","When she came out of prison she appeared languish and terrified, and tremble","When she came out of prison she appeared languid and terrified, and trembled greatly as she advanced to the stake,"
92,translate English to English: preparatory to their appearance in the old bailey. Irons were seldom removed from the convicted until discharge.,preparatory to their appearance in the Old Bailey. Irons were seldom removed from the ,preparatory to their appearance in the Old Bailey. Irons were seldom removed from the convicted until discharge;
93,"translate English to English: constructed on the landings, en in which reuters spent the night on duty and alert to watch the sleepers below.","constructed on the landings, in which reuters spent the night on duty and alert","were constructed on the landings, ensconced in which warders spent the night, on duty, and alert to watch the sleepers below,"
94,"translate English to English: Lawson was not specifically instructed to select the parade route, but he understood that this was one of his functions.","Lawson was not specifically instructed to select the parade route, but he understood that this was","Lawson was not specifically instructed to select the parade route, but he understood that this was one of his functions."
95,"translate English to English: Similarly, Virginia Davis had not been shown pictures of anyone prior to the lineup and had not seen either television or the newspapers during the afternoon.","Similarly, Virginia Davis had not been shown pictures of anyone prior to the lineup and had not","Similarly, Virginia Davis had not been shown pictures of anyone prior to the lineup and had not seen either television or the newspapers during the afternoon."
96,translate English to English: a third possibility the trademark handsome new building with all the necessary facilities presented security problems. It had numerous entrances,"The third possibility, the Trade Mart's handsome new building, with all the necessary facilities,","The third possibility, the Trade Mart, a handsome new building with all the necessary facilities, presented security problems. It had numerous entrances,"
97,"translate English to English: a lock and fastening of the chest were forced by means of a jack, an instrument known to house breakers","The lock and fastening of the chest were forced by means of a jack,","The lock and fastenings of the chest were forced by means of a ""jack,"" an instrument known to housebreakers,"
98,translate English to English: once they let themselves down into the street by the rope.,once they let themselves down into the street by the rope.,whence they let themselves down into the street by the rope.
99,"translate English to English: any travel, any contact with the general public involves a calculated risk on the part of the president and the men responsible for his protection.","any travel, any contact with the general public involves a calculated risk on the part of the","Any travel, any contact with the general public, involves a calculated risk on the part of the President and the men responsible for his protection."
100,translate English to English: some kind of tri,Some kind of trifling,"as some kind of tribunal,"
101,"translate English to English: this occurred in November eighteen thirty four, the custom house officials were in a state of cons.","When this occurred in November 1834, the Custom House officials were in a state of cons","This occurred in November 1834. The Custom House officials were in a state of consternation,"
102,"translate English to English: since cartons absorb per, powder can successfully develop a print on such material only within a limited time.","Since cartons absorb peroxide, powder can successfully develop a print on such material only","Since cartons absorb perspiration, powder can successfully develop a print on such material only within a limited time."
103,"translate English to English: this committee, as well as the one proceeding it also reported in terms of strong on the small prisons and jail","This committee, as well as the one proceeding it also reported in terms of strongness on the","This committee, as well as the one preceding it, also reported in terms of strong reprobation on the small prisons and jails"
104,"translate English to English: inspectors of prisons should be appointed, who should visit all the prisons from time to time and report to the secretary of state,","Inspectors of prisons should be appointed, who should visit all the prisons from time to","inspectors of prisons should be appointed, who should visit all the prisons from time to time and report to the Secretary of State."
105,"translate English to English: or if either the first or third shots missed, the assassin fired the three shots during a minimum time span of seven point one","or if either the first or third shots missed, the assassin fired the three","or, if either the first or third shots missed, the assassin fired the three shots during a minimum time span of 7.1"
106,"translate English to English: esa says, animals are organisms of fixed and definite form in which the cell body is not covered with a cellulose wall.",Esarow says animals are organisms of fixed and definite form in which the cell body,"He says: Animals are organisms of fixed and definite form, in which the cell-body is not covered with a cellulose wall."
107,"translate English to English: a prison population of new gate was still subject to great fluctuations, but it seldom rose above two fifty or three hundred","The prison population of Newgate was still subject to great fluctuations, but it seldom rose above 2","The prison population of Newgate was still subject to great fluctuations, but it seldom rose above two hundred and fifty or three hundred"
108,"translate English to English: the weekly introduction of food to which I shall presently refer, form the basis of luxurious banquet washed down by liquor,",The weekly introduction of food to which I shall presently refer form the basis of luxurious banquet,"The weekly introduction of food, to which I shall presently refer, formed the basis of luxurious banquets, washed down by liquor"
109,"translate English to English: through an assistant secretary, whose duties also include the direct supervision of the bureau of the mint","through an assistant secretary whose duties also include the direct supervision of the Bureau of the mint,",through an Assistant Secretary whose duties also include the direct supervision of the Bureau of the Mint
110,"translate English to English: it is only the green parts of the planet, which under the influence of sunlight have the marvelous power of d carbon acid",It is only the green parts of the planet which under the influence of sunlight have the marvelous power,"for it is only the green parts of the plant which, under the influence of sunlight, have the marvelous power of decomposing carbonic acid,"
111,translate English to English: Additional evidence of ownership was provided in the form of palm print identification which indicated that Oswald had possession of the rifle he had purchased.,Additional evidence of ownership was provided in the form of palmprint identification which indicated that Oswald,Additional evidence of ownership was provided in the form of palmprint identification which indicated that Oswald had possession of the rifle he had purchased.
112,translate English to English: the operating companies in the gas and electric utility field are by and large in good condition. But,"The operating companies in the gas and electric utility field are by and large in good condition, but","The operating companies in the gas and electric utility field are by and large in good condition, but"
113,"translate English to English: a man in his early thirties, fair complexion, s, but neat, meat lender, possible five foot ten","The man in his early thirties, fair complexion, stout but neat","man in his early thirties, fair complexion, slender, but neat, neat slender, possible 5 foot 10"
114,translate English to English: The society did not limit its remarks to the description of what had already been done.,The Society did not limit its remarks to the description of what had already been done.,The Society did not limit its remarks to the description of what had already been done
115,translate English to English: a plot was soon discovered.,A plot was soon discovered.,"A plot was soon discovered,"
116,"translate English to English: on that occasion, oswald again used a bolt action twenty two caliber rifle. And according to Robert,","On that occasion Oswald again used a bolt-action 22-caliber rifle,","On that occasion Oswald again used a bolt-action.22 caliber rifle; and according to Robert,"
117,translate English to English: a simultaneous attack was made upon the captain and the first mate.,A simultaneous attack was made upon the captain and the first mate.,A simultaneous attack was made upon the captain and the first mate.
118,"translate English to English: and that this was the same shirt, which oswald more on the morning of the assassination.",and that this was the same shirt which Oswald more on the morning of the ass,and that this was the same shirt which Oswald wore on the morning of the assassination.
119,"translate English to English: The prisoner was forth with extra and sent back to England, which he reached with his escort on the seventeenth September the same year.","The prisoner was forthwith extradition and sent back to England, which he reached with","The prisoner was forthwith extradited and sent back to England, which he reached with his escort on the 17th September the same year."
120,translate English to English: to whether or not the bullet recovered from Walker house had been fired from the rifle found on the sixth floor of the Texas school depository building.,to whether or not the bullet recovered from Walker's house had been fired from the rifle found,as to whether or not the bullet recovered from Walker's house had been fired from the rifle found on the sixth floor of the Texas School Book Depository Building.
121,"translate English to English: a fee for admission to the state side as fixed by the table of fees was three beginnings, but mister New declared that he never took more than two.","The fee for admission to the State side, as fixed by the table of fees, was three","The fee for admission to the state side, as fixed by the table of fees, was three guineas, but Mr. Newman declared that he never took more than two."
122,translate English to English: Oswald diary reports that he married his wife shortly after his proposal of marriage to another girl had been rejected.,Oswald's diary reports that he married his wife shortly after his proposal of marriage,Oswald's diary reports that he married his wife shortly after his proposal of marriage to another girl had been rejected.
123,"translate English to English: Congress passed a statute, which in eighteen o three, the court said violated and expressed provision of the constitution.",The Congress passed a statute which in 1803 the Court said violated and expressed provision of,"Congress passed a statute which, in 1803, the Court said violated an express provision of the Constitution."
124,translate English to English: a secret service has embarked upon a complete overhaul of its research activities. The staff of the Protective research section P,The Secret Service has embarked upon a complete overhaul of its research activities. The staff,The Secret Service has embarked upon a complete overhaul of its research activities. The staff of the Protective Research Section (PRS)
125,"translate English to English: four in the last three national elections,",Four in the last three national elections,For in the last three national elections
126,translate English to English: phrase testified further that the Fbi avoids the category of probable identification.,The phrase testified further that the FBI avoids the category of probable identification.,"Frazier testified further that the FBI avoids the category of ""probable"" identification."
127,"translate English to English: but in spite of all these aspirations, corresponding parts usually may be made out.",but in spite of all these aspirations corresponding parts usually may be made out.,"but, in spite of all these obscurations, corresponding parts usually may be made out."
128,translate English to English: lee was always hot tempered. And now this trait of character more and more prevented us from living together in harmony.,"Lee was always hotly tempered, and now this trait of character more and more prevented us","Lee was always hot-tempered, and now this trait of character more and more prevented us from living together in harmony."
129,"translate English to English: if, for instance, any one of the six justices of the Supreme Court now over the age of seventy should retire as provided under the plan","If, for instance, any one of the six justices of the Supreme Court now over the","If, for instance, any one of the six justices of the Supreme Court now over the age of seventy should retire as provided under the plan,"
130,translate English to English: this was at least in part because of the close physical con funds in which some of the work had to be done.,This was at least in part because of the close physical concomitants in which some of,This was at least in part because of the close physical confines in which some of the work had to be done.
131,"translate English to English: the theft was discovered at Bo when the boxes were found not to weigh exactly what they ought, but no clue was obtained to the thieves.","The theft was discovered at Bouck, when the boxes were found not to weigh exactly what they","The theft was discovered at Boulogne, when the boxes were found not to weigh exactly what they ought. But no clue was obtained to the thieves,"
132,translate English to English: forced and constant intercourse with the most d deprived individuals of his own class,forced and constant intercourses with the most deprecated individuals of his own class,Forced and constant intercourse with the most depraved individuals of his own class;
133,"translate English to English: Lee Harvey Oswald, background and possible motives, part five,","Lee Harvey Oswald, background and possible motives, part 5.","Lee Harvey Oswald: Background and Possible Motives, Part 5."
134,"translate English to English: erected on the cart, about four feet high at the head and gradually sloping towards the horse, giving a full view of the body.","erected on the cart about four feet high at the head, and gradually slop","erected on the cart, about four feet high at the head, and gradually sloping towards the horse, giving a full view of the body,"
135,translate English to English: beating the batter smooth as you go on until all of the liquid and flour has gone in.,beating the batter smooth as you go on until all of the liquid and flour has gone in.,beating the batter smooth as you go on until all of the liquid and flour has gone in.
136,translate English to English: Maynard was the only one who suffered deaf.,Maynard was the only one who suffered deafness.,Maynard was the only one who suffered death.
137,translate English to English: and thus bring the history of prison discipline down to our own times.,and thus bring the history of prison discipline down to our own times.,and thus bring the history of prison discipline down to our own times.
138,translate English to English: gaming of all sorts should be forbidden under heavy pains and penalties.,Gaming of all sorts should be forbidden under heavy pains and penalties.,gaming of all sorts should be peremptorily forbidden under heavy pains and penalties.
139,"translate English to English: she started to open the blanket, she saw the stock of the rifle.","When she started to open the blanket, she saw the stock of the rifle.","When she started to open the blanket, she saw the stock of the rifle."
140,"translate English to English: asserted that Dallas had shed its reputation of the twenties as the, quote, southwest hate capital of Dixie quote,","asserted that Dallas had shed its reputation of the twenties as the, quote","He asserted that Dallas had shed its reputation of the twenties as the, quote, Southwest hate capital of Dixie, end quote"
141,"translate English to English: have never even known a communist outside of the ones in the Ussr but you can't help that and quote,","I have never even known a Communist outside of the ones in the USSR, but you","I have never even know a communist, outside of the ones in the USSR but you can't help that, end quote."
142,translate English to English: it was recognized that the cameo was genuine and that it bore the likeness of the great king.,"It was recognized that the cameo was genuine, and that it bore the likeness of the","it was recognized that the cameo was genuine, and that it bore the likeness of the great King."
