,input,output,label
42,merge sentence1: is a tremendous game for the principles of democracy sentence2: That is a tremendous gain for the principles of democracy sentence3: that is a tremendous gain for the principles of democracy.,That is a tremendous gain for the principles of democracy.,That is a tremendous gain for the principles of democracy.
43,"merge sentence1: day on the other hand believed that sufficient traces of the print have been left on the rifle barrel sentence2: Day on the other hand sentence3: day on the other hand, believed that sufficient traces of the print had been left on the rifle barrel.","Day, on the other hand, believed that sufficient traces of the print had been left on","Day, on the other hand, believed that sufficient traces of the print had been left on the rifle barrel,"
44,merge sentence1: into holes marked with numbers sentence2: Into holes marked with numbers sentence3: into holes marked with numbers.,into holes marked with numbers.,into holes marked with numbers.
45,"merge sentence1: his captors having Gus succeeded in their designs left him no doubt to realize the money sentence2: His captors having thus succeeded in their designs left him no doubt to realize the money sentence3: his having thus succeeded in their designs, left him, no doubt to realize the money.","His captors, having thus succeeded in their designs, left him no doubt to realize the money","His captors having thus succeeded in their designs, left him, no doubt to realize the money."
46,"merge sentence1: get the forms of printed letters should follow more or less closely those of the written character and they followed them very closely sentence2: Let the forms have printed letters should follow more or less closely those of the written character and they follow them very closely sentence3: the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.",Let the forms of printed letters should follow more or less closely those of the written character and they,"that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely."
47,"merge sentence1: and Robson on arrival did the owners of his house for lunch to gain time sentence2: They drove there and robs in on arrival did the honors of his house sentence3: they drove there and Rob on arrival did the honors of his house, rang for lunch to gain time,","They drove there, and Robson on arrival did the honors of his house, rang","They drove there, and Robson on arrival did the honors of his house, rang for lunch to gain time,"
48,"merge sentence1: made a voluntary confession to Sir Herbert Taylor one morning Cesar after which closely watched sentence2: Made a voluntary confession to serve herbert taylor one morning at Windsor sentence3: made a voluntary confession to sir herbert Taylor one morning at Windsor. After which, this and his acc were closely watched.","made a voluntary confession to Sir Herbert Taylor one morning at Windsor, after which this and his","made a voluntary confession to Sir Herbert Taylor one morning at Windsor; after which Thistlewood and his accomplices were closely watched,"
49,"merge sentence1: when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance sentence2: When the farmers were demanding legislation which would give them sentence3: when the farmers were demanding legislation, which would give them opportunities and incentives to organize themselves for a common advance",when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a,"when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,"
50,"merge sentence1: the medical evidence was clear that the decapitation had been affected during life and the jewelry after a short deliberation sentence2: But the medical evidence was clear that the decapitation had been affected during life and the jury after a short deliberation sentence3: but, the medical evidence was clear that the d had been affected during life and the jury after a short deli deliberations",But the medical evidence was clear that the decapitation had been effected during life,"But the medical evidence was clear that the decapitation had been effected during life, and the jury, after a short deliberation,"
51,merge sentence1: the man continued along 10th Street misses Markham saw a police car slowly approached the man from the rear and stopped alongside of him sentence2: The man continued a long 10th street sentence3: the man continued a long tenth street. Missus Mark saw a police car slowly approach the man from the rear and stop alongside of him.,The man continued a long 10th Street. Misses Markham saw a police,The man continued along 10th Street. Mrs. Markham saw a police car slowly approach the man from the rear and stop alongside of him.
52,merge sentence1: perhaps Herodotus had never been in Babylon sentence2: Perhaps seroditors had never been in Babylon sentence3: perhaps Ser had never been in Babylon.,Perhaps Herodotus had never been in Babylon.,Perhaps Herodotus had never been in Babylon;
53,"merge sentence1: when vanity is strongly developed there is the Keene anxiety to hear what is being said about them outside sentence2: When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside sentence3: when vanity is strongly developed, there is the keen anxiety to hear what is being said about them outside.","When vanity is strongly developed, there is the keen anxiety to hear what is being said about them",When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside.
54,merge sentence1: it was particularly recommended by the committee on jails in 1814 sentence2: It was particularly recommended by the committee on jails in 1814 sentence3: it was particularly recommended by the Committee on jail in eighteen fourteen,"It was particularly recommended by the Committee on Jails in 1814,",It was particularly recommended by the Committee on Jails in 1814
55,merge sentence1: assistant to the director of the FBI testified that sentence2: Your assistant to the director of the FBI testified that sentence3: assistant to the director of the Fbi testified that,Your Assistant to the Director of the FBI testified that,The assistant to the Director of the FBI testified that
56,merge sentence1: he thought it contained tent poles or possibly other camping equipment such as a folding shovel sentence2: He thought it contained tent polls or possibly other camping equipment such as a folding shovel sentence3: thought it contained tent poles or possibly other camping equipment such as a folding shovel.,He thought it contained tent poles or possibly other camping equipment such as a folding shovel,"He thought it contained tent poles, or possibly other camping equipment such as a folding shovel."
57,"merge sentence1: in one prison the bedsteads have been removed less the prisoners should break them up and convert them into weapons of offense sentence2: In one prison the bedsteds had been removed plus the prisoners should break them up and convert them into weapons of offense sentence3: in one prison, the beds s had been removed lest the prisoners should break them up and convert them into weapons of offense.","In one prison the bedstuffs had been removed, lest the prisoners should break them",In one prison the bedsteads had been removed lest the prisoners should break them up and convert them into weapons of offense.
58,"merge sentence1: Vice President Johnson during the 1960 campaign sentence2: Hey Vice President Johnson during the 1960 campaign sentence3: by vice President Johnson during the nineteen sixty campaign,",by Vice President Johnson during the 1960 campaign.,by Vice President Johnson during the 1960 campaign.
59,merge sentence1: Liberty to hire suitable accommodation from any neighbors who might have it to spare the only provider sentence2: Favorite liberty to hire suitable sell accommodation from any neighbors who might have it to spare. sentence3: they read liberty to hire suitable cell accommodation from any neighbors who might have it to spare. The only pro,they read liberty to hire suitable accommodation from any neighbors who might have it to spare. The only,"they were at liberty to hire suitable cell accommodation from any neighbors who might have it to spare; the only proviso,"
60,"merge sentence1: the ordinary observes him looks to the Sheriff's and says allowed the service for the Dead sentence2: The ordinary observes him looks to the sheriff since there's a loud the service for the dead. sentence3: the ordinary observe him looks to the sheriff's since says aloud, the service for the dead","The ordinary observes him, looks to the sheriffs, since says aloud ""","The ordinary observes him, looks to the sheriffs, and says aloud, 'The service for the dead!'"
61,merge sentence1: are better than mere personal strengths in the accomplishments of such tasks as full to women to perform sentence2: Are better than mere personal strength than the accomplishment of such tasks as full to women to perform sentence3: are better than mere personal strength in the accomplishment of such tasks as full to women to perform.,are better than mere personal strength in the accomplishments of such tasks as full to women to perform,are better than mere personal strength in the accomplishment of such tasks as fall to women to perform.
62,"merge sentence1: Giovanni Lundy the Italian boy who murdered a frenchwoman in the Haymarket sentence2: Giovanni Lani the Italian boy who murdered a French woman in the hay market sentence3: Giovanni, the Italian boy who murdered a French woman in the hay market","Giovanni Lundy, the Italian boy who murdered a Frenchwoman in the Haymarket,","Giovanni Lanni, the Italian boy who murdered a Frenchwoman in the Haymarket,"
63,"merge sentence1: April 6th 224 1963 Oswald's first public identification would that cause was in New Orleans sentence2: April 6 to 24 1963 Oswald's first public identification with that cause was in New Orleans sentence3: April six to twenty four nineteen sixty three, Oswald first public identification with that cause was in New Orleans.","April 6, to 24, 1963. Oswald's first public identification with that cause was in","April 6 to 24, 1963 Oswald's first public identification with that cause was in New Orleans."
64,"merge sentence1: contracted with sheriffs and conveners to work by the job sentence2: Contracted with sheriffs and conveners to work by the job sentence3: contracted with sheriff and convene to work by the job,","contracted with sheriffs and conveners to work by the job,",contracted with sheriffs and conveners to work by the job.
65,"merge sentence1: in light of these findings the commission evaluated the additional testimony of Stambaugh sentence2: In light of these findings the commission evaluated the additional testimony of Stomball sentence3: light of these findings, the commission evaluated the additional testimony of s","In light of these findings, the Commission evaluated the additional testimony of Stombaugh",In light of these findings the Commission evaluated the additional testimony of Stombaugh
66,merge sentence1: should be indications of a delicacy of material and manufacturer which would of necessity increase its cost sentence2: Which should be indications of a delicacy of material and manufacture which would of necessity increase its cost sentence3: should be indications of a delicacy of material and manufacture which would of necessity increase its cost.,which should be indications of a delicacy of material and manufacture which would of necessity,which should be indications of a delicacy of material and manufacture which would of necessity increase its cost.
67,"merge sentence1: the passport office of the Department of State in Washington had no listing for Oswald requiring special treatment sentence2: The passport office of the Department of State in Washington sentence3: the passport office of the Department of State in Washington had no listing for Oswald requiring special treatment,",The passport office of the Department of State in Washington had no listing for Oswald requiring,"The Passport Office of the Department of State in Washington had no listing for Oswald requiring special treatment,"
68,merge sentence1: a more alert and carefully considered treatment of the Oswald Case by The Bureau might have brought about such a referral sentence2: A more alert and carefully considered treatment of the osbold case by the bureau might have brought about such a referral sentence3: a more alert and carefully considered treatment of the oswald case by the bureau might have brought about such a referral.,A more alert and carefully considered treatment of the Oswald case by the Bureau might have brought,a more alert and carefully considered treatment of the Oswald case by the Bureau might have brought about such a referral.
69,merge sentence1: these considerations have induced the commission to believe sentence2: These considerations have induced the commission to believe sentence3: these considerations have induced the commission to believe,These considerations have induced the Commission to believe,These considerations have induced the Commission to believe
70,"merge sentence1: to the west of Babylon has a greater distance from the outer wall I constructed and enclosing wall 4000 cubits in length about the city sentence2: To the west of Babylon at a greater distance from the outer wall I constructed and enclosing wall 4000 cubits in length about the city sentence3: to the West of Babylon at a greater distance from the outer wall, I constructed an en wall four thousand cub in length about the city.","To the west of Babylon, at a greater distance from the outer wall I constructed and ","To the west of Babylon, at a greater distance from the outer wall, I constructed an enclosing wall four thousand cubits in length about the city."
71,merge sentence1: will take approximately 20 months to implement and require expenditures of approximately 3 million dollars during that. sentence2: Take approximately 20 months to implement and require expenditures of approximately three 1 million dollars during that period sentence3: take approximately twenty months to implement and require expenditures of approximately three million dollars during that period.,take approximately 20 months to implement and require expenditures of approximately 3 million dollars during that period.,"would take approximately 20 months to implement and require expenditures of approximately $3,000,000 during that period."
72,"merge sentence1: he finished reading a morning newspaper quote and put on good suit I saw that he took a pistol sentence2: Hey finished reading a morning newspaper quote and put on a good suit sentence3: finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol","He finished reading a morning newspaper, quote, and put on a good suit. I","he finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol."
73,merge sentence1: this will make certain that the largest possible portion of the funds allotted sentence2: Hey Facebook make certain that the largest possible portion of the funds allotted sentence3: this will make certain that the largest possible portion of the funds allotted,This will make certain that the largest possible portion of the funds allotted,This will make certain that the largest possible portion of the funds allotted
74,merge sentence1: shows three employees looking out of the 5th floor window directly below the window from which the shots were fired sentence2: Shows three employees looking out of the fifth floor window directly below the window from which the shots were fired sentence3: shows three employees looking out of the fifth floor window directly below the window from which the shots were fired.,shows three employees looking out of the fifth-floor window directly below the window from which the shots,shows three employees looking out of the fifth-floor window directly below the window from which the shots were fired.
75,merge sentence1: but no steps have been taken in Parliament to enforce a better system of discipline sentence2: But no steps had been taken in parliament to enforce a better system of discipline sentence3: but no steps had been taken in parliament to enforce a better system of discipline,But no steps had been taken in parliament to enforce a better system of discipline,"but no steps had been taken in Parliament to enforce a better system of discipline,"
76,"merge sentence1: follow the heat in the center and pouring the milk working down the flower into the liquid with a spoon or your hands until it is Thoroughly melted sentence2: Hollow the heat in the center and pour in the milk working down the flour into the liquid with a spoon or your hands until it is thoroughly melted sentence3: hollow the heap in the center and pour in the milk, working down the flower into the liquid with a spoon or your hands until it is thoroughly melted.","hollow the heap in the center and pour in the milk, working down the flour, into the","hollow the heap in the center and pour in the milk, working down the flour into the liquid with a spoon or your hands until it is thoroughly melted."
77,merge sentence1: trip to Texas began with the departure of President and mrs. Kennedy from the White House sentence2: The trip to Texas began with the departure of president and missus Kennedy from the White House sentence3: a trip to Texas began with the departure of President and Missus Kennedy from the White House,The trip to Texas began with the departure of President and Mrs. Kennedy from the White House,The trip to Texas began with the departure of President and Mrs. Kennedy from the White House
78,merge sentence1: wild beasts of the desert shall I there sentence2: Wild beasts of the desert shell lie there sentence3: wild beasts of the desert shall live there.,Wild beasts of the desert shall live there.,Wild beasts of the desert shall lie there;
79,"merge sentence1: is that the semifluid contents which we now turn protoplasm of the cells of certain plants sentence2: That the semi fluid contents which we now turn protoplasm of the cells of certain plants sentence3: that the semi fluid contents, which we now turn pro of the cells of certain plants",that the semi-fluid contents which we now turn protoplasm of the cells of certain,"That the semi-fluid contents (which we now term protoplasm) of the cells of certain plants,"
80,"merge sentence1: nor will the walls about the palace a great mass of Del brick Masonry sentence2: Nor with the walls about the palace a great mass of dull brick masonry sentence3: nor of the walls about the palace, a great mass of Dull brick Mason rich","nor of the walls about the palace, a great mass of dull brick masonry,",Nor were the walls about the palace a great mass of dull brick masonry.
81,merge sentence1: some condemned convict Converse but little with the waters who have them unceasingly in charge sentence2: Some condemned convicts converse but little with the waters who have them unceasingly in charge sentence3: some condemned convict converse but little with the waters who have them un in charge.,some condemned convicts converse but little with the waters who have them unceasing,Some condemned convicts converse but little with the warders who have them unceasingly in charge.
82,"merge sentence1: once ordered to the cells friends of all classes suddenly rise up his fellow Prisoners the turnkeys the chaplain sentence2: Once ordered to the cells friends of all classes suddenly rise up his fellow prisoners the turnkeys the chaplain sentence3: once ordered to the cells, friends of all classes suddenly rise up. His fellow prisoners, the turnkey keys, the chaplain,","Once ordered to the cells friends of all classes suddenly rise up, his fellow-prisoners","Once ordered to the cells, friends of all classes suddenly rise up; his fellow-prisoners, the turnkeys, the chaplain,"
83,merge sentence1: and three other justices agreed with him sentence2: And three other justices agreed with him sentence3: and three other justices agreed with him.,and three other justices agreed with him.,And three other justices agreed with him.
84,"merge sentence1: Elm Street parallel to Main Street in one block north sentence2: Elm street parallel to main street and one block north sentence3: Elm street, parallel to Main street and one block north","Elm Street, parallel to Main Street, and one block north,","Elm Street, parallel to Main Street and one block north,"
85,"merge sentence1: he tramped across London Bridge to Wandsworth where he refreshed himself with a pint of strong ale the first sustenance he had taken since his Escape sentence2: He tramped across London Bridge to Wandsworth where he refreshed himself with a pint of strong ale the first sustenance he had taken since his escape sentence3: He tram across London bridge to Once worth. Where he refreshed himself with a pint of strong ale. The first sustenance he had taken since his escape,","He tramped across London Bridge to Wandsworth, where he refreshed himself with a","he tramped across London Bridge to Wandsworth, where he refreshed himself with a pint of strong ale, the first sustenance he had taken since his escape,"
86,"merge sentence1: Courvoisier was idle discontented ready to take offense greedy of gain sentence2: Was idle sentence3: that K was idle, discontent, ready to take offense, greedy of gain,","that Courvoisier was idle, discontented, ready to take offense, greed","that Courvoisier was idle, discontented, ready to take offense, greedy of gain;"
87,merge sentence1: let me call your attention to the fact that the national industrial Recovery Act sentence2: Let me call your attention to the fact that the national industrial recovery act sentence3: let me call your attention to the fact that the National Industrial Recovery Act,Let me call your attention to the fact that the National Industrial Recovery Act,Let me call your attention to the fact that the national Industrial Recovery Act
